sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,avg_error,worst_avg_error
7,1,100,2252,259273.74081562294,54.87546913639474,-75.07708408063661,54.87546913639474,
7,1,99,2229,2698.622660059297,27.876181305910258,0.20830828191635797,,55.44111279043409
7,1,95,2139,1065.6177810734937,21.133943523565666,0.6463037296372273,,57.756113721758204
7,1,85,1914,399.8702367694946,14.204561322583054,0.8506112209082504,,64.37274247311579
7,1,75,1689,185.99174695312706,10.187138202768459,0.9252268651944773,,72.5257148117874
7,2,100,2252,722325.1150110465,62.78401877396293,-210.94737398157545,62.78401877396293,
7,2,99,2229,2449.3238521243056,26.628760015885028,0.2817757171019286,,63.43153556030356
7,2,95,2139,955.1106101068617,20.109986158104284,0.6926527971746095,,66.08378559706571
7,2,85,1914,364.81538312038515,13.572571163738546,0.8721978909768713,,73.68911489240112
7,2,75,1689,168.34376481495877,9.725850327625501,0.937191142673168,,83.1042517388351
7,4,100,2252,372507.8160551631,65.74415701019018,-108.30265577058904,65.74415701019018,
7,4,99,2229,3432.5019018511257,28.864269188647977,-0.01043929423032397,,66.42218854318278
7,4,95,2139,1028.8437445251418,20.71025342542406,0.6671411469136921,,69.202492441827
7,4,85,1914,382.9853213456964,13.872030908718395,0.8653489762909505,,77.17970902255486
7,4,75,1689,182.04324372452734,9.973174442024954,0.9279317028111376,,87.06591651321699
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,16.330803730017763,
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,,16.499300134589504
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,,17.177934579439253
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,,19.093994778067884
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,,21.37719952634695
10,1,100,2249,411230.9433644791,66.98932334014994,-119.5153695116064,66.98932334014994,
10,1,99,2226,3327.331083212326,30.482318766766962,0.026654049575822847,,67.68100721662793
10,1,95,2136,1234.1818809443987,22.71708692770474,0.5930676307962011,,70.51437305503038
10,1,85,1911,459.1388407797388,15.215519995660225,0.8280823247537712,,78.63638188659839
10,1,75,1687,212.0936700185929,10.899607508633522,0.9164924428222017,,88.6099595547552
10,2,100,2249,69510.98042514327,47.04588917948896,-19.37089286743049,47.04588917948896,
10,2,99,2226,2932.6812855506396,28.46105703083033,0.14194092028961325,,47.53164659371283
10,2,95,2136,1058.548662316555,21.273111340051635,0.6576397403956379,,49.516268409596954
10,2,85,1911,408.00927922524545,14.391212142405218,0.8479651754418236,,55.15868126579091
10,2,75,1687,187.3238155515349,10.326481651091687,0.9265895969173452,,62.052572774333086
10,4,100,2249,304192.28503920446,53.05540844311189,-88.14661268956978,53.05540844311189,
10,4,99,2226,2560.319115391142,27.610316732523405,0.24899120002925634,,53.60329719226792
10,4,95,2136,1043.7161024040402,21.03712592073536,0.6477883140541567,,55.8460927283841
10,4,85,1911,403.9603105533604,14.233551317291363,0.8507241356774722,,62.2449194538875
10,4,75,1687,183.36829160392813,10.137632693221763,0.927867769819566,,70.07782769826906
10,6,100,2249,287542.7571963876,51.45203767271521,-83.26730087573956,51.45203767271521,
10,6,99,2226,1927.9648408452035,24.67718212372142,0.4299768496426305,,51.98345247059499
10,6,95,2136,845.0254890236982,19.08048744718302,0.7312545615734711,,54.159061172970695
10,6,85,1911,325.24428183324807,12.962465836007693,0.8898193508318146,,60.36842803604487
10,6,75,1687,156.88333307350877,9.427133697368388,0.9417970381939961,,67.9940415239179
15,1,100,2244,445071.78611060197,75.77681780061695,-129.1566704717448,75.77681780061695,
15,1,99,2221,4286.494645141459,36.25742306575991,-0.26035775110813986,,76.560901513451
15,1,95,2131,1743.657434097093,27.779615784897956,0.411413128096202,,79.7671245682539
15,1,85,1907,701.8180002493692,19.18501134207878,0.7375178315597233,,88.90882729030285
15,1,75,1683,340.61513589612434,14.033788147113567,0.8589716441891786,,100.16424777805184
15,2,100,2244,530834.2908463475,72.66474074262793,-154.2370337211644,72.66474074262793,
15,2,99,2221,4108.544532889564,34.56259358430868,-0.20068176295147233,,73.41678704062774
15,2,95,2131,1530.5438301701208,25.92844664174574,0.5020878565815725,,76.49899495336068
15,2,85,1907,624.8108234056871,17.89746558559224,0.7766103794060775,,85.26545929053246
15,2,75,1683,291.9328334588602,12.903944139631747,0.873047309037678,,96.0525759850626
15,4,100,2244,577431.3018501266,65.50152134747103,-167.8638507773235,65.50152134747103,
15,4,99,2221,3009.069834877047,30.936808840146465,0.12363083546470166,,66.17963873899507
15,4,95,2131,1308.1875303717484,23.904269117057755,0.5713788327760136,,68.95722259760954
15,4,85,1907,532.2343246895075,16.421705638474315,0.7953830495821833,,76.85511615690905
15,4,75,1683,248.0525250370536,11.803737634851819,0.8940241021027916,,86.57762244108159
15,6,100,2244,297247.98876159324,58.660848300110764,-85.92711991412838,58.660848300110764,
15,6,99,2221,2663.0446872898274,28.634899102350605,0.21554943643861535,,59.26795453652199
15,6,95,2131,1115.1254445490686,21.95380301576921,0.6193402124474141,,61.75534512438963
15,6,85,1907,428.55697351392774,14.926481682634753,0.8414391168333555,,68.82354449950265
15,6,75,1683,207.1641070894387,10.869742827392582,0.9199771760458971,,77.50880354643834
30,1,100,2229,2931897.9903614847,199.09583526595563,-850.9018851012052,199.09583526595563,
30,1,99,2206,38497.032862232314,90.44600079671609,-10.147023420612028,,200.9893363895698
30,1,95,2117,8494.175150770034,61.085907974842726,-1.7256386576873797,,209.58510806026015
30,1,85,1894,3076.563849233032,41.903074726476795,-0.3974876484399088,,233.52999530768466
30,1,75,1672,1669.395825603584,32.09476038071803,0.11374117207376966,,263.17948715531907
30,2,100,2229,1225858.417719139,151.14214228344534,-355.18943781647675,151.14214228344534,
30,2,99,2206,26880.23316870561,79.13747901749262,-6.817076530651282,,152.64845919636804
30,2,95,2117,6966.335635329102,54.86651744897348,-1.2374492181773449,,159.09788497233748
30,2,85,1894,2575.5597222948004,37.30378645169122,-0.1815281458277418,,177.34572953161285
30,2,75,1672,1302.3394413847266,27.763190781241377,0.3211452755497741,,199.69336917315977
30,4,100,2229,1638868.9127513359,135.68382455694467,-475.19512029287495,135.68382455694467,
30,4,99,2206,12786.852565066854,60.65769554123564,-2.7431985242778203,,137.09808589928517
30,4,95,2117,4454.6527147898505,45.26709246745676,-0.5363629041128857,,142.8172825076758
30,4,85,1894,1822.932365078302,31.771649037202707,0.16405139911671895,,159.18404645265645
30,4,75,1672,982.2380373683958,24.07413448111349,0.5026077075567418,,179.20311433054368
30,6,100,2229,3198982.5151101123,158.0291150664055,-928.5068395923614,158.0291150664055,
30,6,99,2206,10440.625722500099,55.17651513376571,-2.0491426507876604,,159.67622549593932
