sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,10,100,2252,939.492584292564,18.785725610568385,0.7243305237795481,96.53078545722714
7,1,100,10,99,2229,726.1966937070812,17.490300033647376,0.7771897062935541,80.40622104166665
7,1,100,10,95,2139,450.5383415393917,14.678576586411092,0.8476963916120599,57.31317269470404
7,1,100,10,85,1914,199.82948108075385,10.50350748519679,0.9254655548719609,34.40639369791666
7,1,100,10,75,1689,102.61996514243745,7.8789169765147,0.9594515248721619,22.4602358627451
7,2,100,10,100,2252,949.082755163062,18.788236248519834,0.7215165394810712,95.90155309734511
7,2,100,10,99,2229,723.488349266077,17.466499475848657,0.7764766699886707,79.53665535714286
7,2,100,10,95,2139,460.0544235110545,14.714461211625368,0.8449745439349547,59.39311775700935
7,2,100,10,85,1914,197.04266397849824,10.429322952803899,0.9258541978370177,34.05316215277778
7,2,100,10,75,1689,101.30961108501124,7.823210947306095,0.9589105031469364,22.254069411764696
7,4,100,10,100,2252,795.9421517579705,17.710047024866785,0.7664516359731358,86.91103982300884
7,4,100,10,99,2229,626.3511299928443,16.558148362494393,0.8075690184099258,72.83449821428572
7,4,100,10,95,2139,404.7039551642823,14.054267601683028,0.8655389225890437,53.06008785046728
7,4,100,10,85,1914,187.8317050932707,10.190009822361548,0.9283350656989219,32.88298645833333
7,4,100,10,75,1689,96.9956525468088,7.649397631734754,0.9595307549334122,21.901632941176477
7,6,100,10,100,2252,796.1315123001775,16.330803730017763,0.7663960730848706,91.45238938053095
7,6,100,10,99,2229,592.9755878869449,15.062359802602067,0.8190591011016983,75.70357142857142
7,6,100,10,95,2139,348.75607391304374,12.362248714352503,0.8888370965369762,53.072803738317766
7,6,100,10,85,1914,138.9688927377222,8.480141065830724,0.9511315476120376,29.91270833333337
7,6,100,10,75,1689,65.14455660153939,6.139911190053286,0.9732450060867439,18.689058823529408
10,1,100,10,100,2249,897.3445979947718,18.32512212004277,0.7370241282871202,94.34364507374632
10,1,100,10,99,2226,691.4090826960833,17.045620377198052,0.7839127738902864,78.42712330357143
10,1,100,10,95,2136,430.6536962088676,14.303542956293473,0.8509302798439565,56.32708867601248
10,1,100,10,85,1911,188.03216928421205,10.184144480264631,0.9288007762309936,33.31307692708334
10,1,100,10,75,1687,95.77777633542168,7.625341952253929,0.9614538850869049,21.76783584313724
10,2,100,10,100,2249,894.2352889685814,18.27301351785979,0.7379353426114883,93.66596725663717
10,2,100,10,99,2226,685.3558483388224,17.006558042078467,0.7883158535396526,78.04868303571428
10,2,100,10,95,2136,427.6594544447232,14.284528605649191,0.8549244403007202,56.26449657320873
10,2,100,10,85,1911,191.58352165259586,10.243939045002618,0.9258014327657431,33.16833333333336
10,2,100,10,75,1687,99.51564207304743,7.683125631298161,0.9573236932450224,22.40465647058824
10,4,100,10,100,2249,910.8208941283058,18.53648119164073,0.7330747639837116,93.30093628318583
10,4,100,10,99,2226,697.4092539122821,17.25795705300988,0.7829009322394163,77.29653928571427
10,4,100,10,95,2136,445.81151581690074,14.581245505617973,0.8509888695152641,56.13317757009346
10,4,100,10,85,1911,204.43403232406072,10.482096389324958,0.9197289814720165,35.23790104166667
10,4,100,10,75,1687,100.78950196788377,7.741847658565497,0.9567596266715657,22.81792588235294
10,6,100,10,100,2249,815.6965578120631,17.994801467318805,0.7609519087503633,87.20546371681415
10,6,100,10,99,2226,637.6708458941554,16.81893095238095,0.803196974485017,72.45862857142856
10,6,100,10,95,2136,415.9899051190402,14.333375983146066,0.8599397270975819,53.144275700934564
