sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,10,100,2252,750.1629464847156,17.23287202486678,0.7798843439587656,84.98907256637168
7,1,100,10,99,2229,585.6619564568147,16.101533333333332,0.8197802900064804,70.6165857142857
7,1,100,10,95,2139,371.8231400391211,13.653418700327254,0.8730741315543875,49.67201588785047
7,1,100,10,85,1914,183.83553447386103,10.094515621734589,0.9300285053705561,32.208349999999996
7,1,100,10,75,1689,94.47179886402012,7.568358614564829,0.9582477234813811,21.66681647058824
7,2,100,10,100,2252,761.396462046332,17.399321314387212,0.7765881632301898,85.13643628318583
7,2,100,10,99,2229,595.9049872023058,16.26385464333782,0.816575580929807,71.06564017857143
7,2,100,10,95,2139,383.2669504653062,13.820876250584385,0.8728064053602435,50.94391495327103
7,2,100,10,85,1914,185.11574659554864,10.159365935214213,0.9287544023590951,32.320134375
7,2,100,10,75,1689,95.76190556023089,7.640178863232682,0.9586427662040158,21.844530588235287
7,4,100,10,100,2252,778.2347287101908,17.740506349911186,0.7716474151824747,85.53005840707964
7,4,100,10,99,2229,628.1606087755316,16.660484253028265,0.8074899179766015,72.68901607142857
7,4,100,10,95,2139,405.31688551172977,14.159291117344553,0.8681668834965717,52.43516542056075
7,4,100,10,85,1914,193.5683159796291,10.357859090909091,0.9279896206570966,33.36584375
7,4,100,10,75,1689,99.98904365513917,7.779748075784489,0.9582920650455309,22.268491764705896
7,6,100,10,100,2252,796.1315123001775,16.330803730017763,0.7663960730848706,91.45238938053095
7,6,100,10,99,2229,592.9755878869449,15.062359802602067,0.8190591011016983,75.70357142857142
7,6,100,10,95,2139,348.75607391304374,12.362248714352503,0.8888370965369762,53.072803738317766
7,6,100,10,85,1914,138.9688927377222,8.480141065830724,0.9511315476120376,29.91270833333337
7,6,100,10,75,1689,65.14455660153939,6.139911190053286,0.9732450060867439,18.689058823529408
