sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,200,,100,2252,944.6610710181606,18.801015557282412,0.7228139668079245,96.73397081858407
7,1,200,,99,2229,728.1489975196437,17.494485412741138,0.772084582739964,80.45390213541671
7,1,200,,95,2139,452.8195542897252,14.68394031439925,0.8456196169749377,57.60762939252337
7,1,200,,85,1914,199.40901136338422,10.480456019679549,0.9250872374906306,34.48840268229167
7,1,200,,75,1689,101.66400322534156,7.846053983619494,0.9595255380139944,22.395090166666666
7,2,200,,100,2252,949.828523913405,18.802526420219063,0.7212977131867226,95.7685030973451
7,2,200,,99,2229,722.4409988063347,17.47760576416928,0.776815069609192,79.43217142857142
7,2,200,,95,2139,460.7184355871578,14.736535132460649,0.8438255413403104,59.37754018691591
7,2,200,,85,1914,197.50424577864428,10.451301958376867,0.9256668941307596,34.12388873263888
7,2,200,,75,1689,101.38953269209287,7.84210175448983,0.9588444404365968,22.245439999999995
7,4,200,,100,2252,796.2638437796868,17.691368072824158,0.7663572438804109,87.16865973451326
7,4,200,,99,2229,627.3367392041097,16.541799371915662,0.8072156117971495,73.1412575892857
7,4,200,,95,2139,403.4296463592813,14.020992215988786,0.8660255194431303,53.1297004672897
7,4,200,,85,1914,186.11065392679214,10.149435005224664,0.9295504088202652,32.97061927083332
7,4,200,,75,1689,95.97187169693458,7.621829810538783,0.9604120641469261,21.71152882352941
7,6,200,,100,2252,796.131512300177,16.330803730017763,0.7663960730848708,91.45238938053092
7,6,200,,99,2229,592.9755878869444,15.062359802602064,0.8190591011016986,75.7035714285714
7,6,200,,95,2139,348.7560739130432,12.362248714352503,0.8888370965369763,53.07280373831772
7,6,200,,85,1914,138.96889273772217,8.480141065830727,0.9511315476120377,29.912708333333338
7,6,200,,75,1689,65.14455660153943,6.139911190053292,0.9732450060867439,18.689058823529436
10,1,200,,100,2249,905.433194342582,18.41989825591797,0.7346536836661214,94.78427409292033
10,1,200,,99,2226,697.5609940866448,17.13458521753198,0.7819901068311909,78.72315909970241
10,1,200,,95,2136,434.10977793721526,14.38002256791176,0.8527924408497931,56.39543758010682
10,1,200,,85,1911,190.377159495163,10.253031643087638,0.927556173426393,33.4227830518353
10,1,200,,75,1687,97.4169567869329,7.685306126436049,0.9600408801878323,22.00475808543417
10,2,200,,100,2249,915.1299002095066,18.45121533311101,0.7318119663550726,94.85294601769908
10,2,200,,99,2226,699.039342490607,17.158872948861934,0.7833243984049323,78.77082499999999
10,2,200,,95,2136,436.55376394556254,14.409363475733459,0.8510642895358538,56.89619096573211
10,2,200,,85,1911,195.74557523620274,10.325945709488924,0.9244771397042372,33.70286828125001
10,2,200,,75,1687,100.89517950655824,7.723412771685436,0.9569233992044788,22.637225735294116
10,4,200,,100,2249,905.4909625641582,18.469164139617604,0.7346367541069975,93.08731106194686
10,4,200,,99,2226,694.7119423106232,17.198678818508533,0.7837405881959368,77.25522410714282
10,4,200,,95,2136,443.4215716845622,14.521668539325841,0.8479620497159863,55.94317149532711
10,4,200,,85,1911,203.55428500286627,10.434502747252745,0.9201148472721025,35.191290104166676
10,4,200,,75,1687,99.70747232419227,7.684779401304088,0.957229471531853,22.83327529411765
10,6,200,,100,2249,836.5374444360258,18.272353646064914,0.7548442770340158,88.05218716814157
10,6,200,,99,2226,656.0905679438441,17.088199213836475,0.7971129314781131,73.17900357142854
10,6,200,,95,2136,429.87025379253043,14.580817509363296,0.8550944218587789,54.15204859813084
10,6,200,,85,1911,204.2696608040907,10.650824986917844,0.9207855464188435,33.69574531249999
10,6,200,,75,1687,107.82487617779633,8.03988183165382,0.9535373213450871,23.588660588235282
15,1,200,,100,2244,879.0332630326034,18.333104659835232,0.742935754813707,91.30363560471974
15,1,200,,99,2221,690.6024231450183,17.12431589411839,0.7878776518412223,77.32131774872451
15,1,200,,95,2131,444.3961510835762,14.463714703583733,0.8525073019716881,57.99616775589675
15,1,200,,85,1907,193.13496859649356,10.284406387964783,0.9295059702396148,33.86040765335644
15,1,200,,75,1683,97.5313754679687,7.6709436604040135,0.9606802182322339,21.95730999019607
15,2,200,,100,2244,873.0194721719902,18.241543719866737,0.7446944261556292,91.27080088495575
15,2,200,,99,2221,667.6162693472645,16.99223865708283,0.7952103393721066,75.67887901785714
15,2,200,,95,2131,425.56242195785404,14.369039703135128,0.8564515100898891,54.97083177570094
15,2,200,,85,1907,197.21127467783938,10.40917671598372,0.924517964627182,33.96931264756945
15,2,200,,75,1683,100.82854998623586,7.78804863480746,0.957377817565445,22.05379588235294
15,4,200,,100,2244,915.6224954266029,18.572654790552583,0.7322356097761233,94.12286902654864
15,4,200,,99,2221,699.0598574321161,17.28510585321927,0.782831348283435,78.33182455357142
15,4,200,,95,2131,441.87573814657793,14.566472618488971,0.8490222757611174,56.31223551401868
15,4,200,,85,1907,202.36494961331675,10.50679229155742,0.9194773697738821,33.853684375
15,4,200,,75,1683,103.83514868575013,7.845805377302436,0.9540374495140936,22.894489411764702
15,6,200,,100,2244,889.4225731252002,18.463953475935828,0.7398975078334438,91.2654420353982
15,6,200,,99,2221,686.723960086891,17.22362341287708,0.7882624797344479,76.14113035714284
15,6,200,,95,2131,446.2173261066413,14.603527287658377,0.8489318429788427,56.58741542056075
15,6,200,,85,1907,203.90707019129,10.509938542212899,0.9172077363420975,34.35932343749999
15,6,200,,75,1683,102.29373562237225,7.796595216874629,0.9541084815577341,22.674737647058844
30,1,200,,100,2229,901.3067491171406,18.701319676988426,0.7381133582575078,91.03372492665814
30,1,200,,99,2206,703.3070592117798,17.47242627347821,0.7848475141380176,76.57289480587731
30,1,200,,95,2117,465.46217642302054,14.874569848002597,0.8466247063058393,57.92721393025609
30,1,200,,85,1894,209.75095231620665,10.655881248710513,0.9236464788894647,34.769712367274515
30,1,200,,75,1672,107.22094241563077,7.9382854168256625,0.9559362189183511,23.557282073412665
30,2,200,,100,2229,839.0865883702769,17.879972816819414,0.7561922519999936,89.31814910714282
30,2,200,,99,2206,632.7533523956225,16.63658658598843,0.8072443996890553,73.2998261261261
30,2,200,,95,2117,405.6311962225454,14.100532219504242,0.8645640869719649,52.6627358490566
30,2,200,,85,1894,194.36971286747576,10.297073296688792,0.9251480655964583,33.47722476942355
30,2,200,,75,1672,100.6032030543021,7.709664608751995,0.954451332802045,22.750345238095218
30,4,200,,100,2229,862.5558197693201,18.204623328847017,0.7493729552384933,90.32461473214285
30,4,200,,99,2206,658.6996065035822,16.960254691749775,0.7984682360985688,74.79568378378379
