sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,300,10,100,2252,947.0067126569508,18.831920060193408,0.7221256997446426,96.83112562930185
7,1,300,10,99,2229,730.1291571078948,17.52449925626838,0.7714647797870862,80.54231768353179
7,1,300,10,95,2139,454.1896153482811,14.711344917926342,0.8452820605147426,57.6505677622015
7,1,300,10,85,1914,200.2119722093973,10.504763999477532,0.9250621120170888,34.50022123263893
7,1,300,10,75,1689,102.1851807715161,7.86681477106769,0.959531761532788,22.424373006535955
7,2,300,10,100,2252,955.0665939793197,18.851458614071444,0.719760738807554,96.01900294985246
7,2,300,10,99,2229,726.5912116266429,17.52435115846668,0.775532937281517,79.67593690476191
7,2,300,10,95,2139,463.2064728396554,14.774818824476649,0.8441262126230635,59.50050000000005
7,2,300,10,85,1914,198.2512638253087,10.474019278416344,0.9254139570906056,34.20094251157408
7,2,300,10,75,1689,101.90884581375303,7.8627942026840305,0.958401656844847,22.312978039215682
7,4,300,10,100,2252,792.965042970285,17.64989376850208,0.7673251905214886,86.98468643067847
7,4,300,10,99,2229,624.4531285444547,16.500023867205034,0.8082423067990012,72.99756696428571
7,4,300,10,95,2139,401.84518100850386,13.987045909303422,0.868942374290165,53.10012336448601
7,4,300,10,85,1914,184.86424748663669,10.118191222570543,0.9299539118150238,32.82755208333338
7,4,300,10,75,1689,95.13232886640486,7.596056483126118,0.9606176519476061,21.563005490196108
7,6,300,10,100,2252,796.131512300177,16.330803730017774,0.7663960730848708,91.45238938053093
7,6,300,10,99,2229,592.9755878869445,15.062359802602076,0.8190591011016986,75.7035714285714
7,6,300,10,95,2139,348.75607391304317,12.362248714352514,0.8888370965369763,53.072803738317674
7,6,300,10,85,1914,138.9688927377222,8.480141065830741,0.9511315476120376,29.912708333333285
7,6,300,10,75,1689,65.14455660153978,6.139911190053312,0.9732450060867438,18.689058823529503
10,1,300,10,100,2249,907.4636690645117,18.461132406313446,0.7340586325996932,94.78987440019665
10,1,300,10,99,2226,701.5541843070595,17.182862395487195,0.7807421084758711,78.85657681689342
10,1,300,10,95,2136,436.8825497701346,14.423141842030299,0.8505492178471343,56.57644900113728
10,1,300,10,85,1911,191.28090384933353,10.278423185705705,0.9272868307108583,33.53259237957448
10,1,300,10,75,1687,97.89691990660434,7.705979351389243,0.9596538051497726,21.988781197478986
10,2,300,10,100,2249,911.3478570398931,18.42647512562903,0.732920332195361,94.54958259587015
10,2,300,10,99,2226,696.3805325309577,17.137526530790517,0.7841281358693156,78.47914494047619
10,2,300,10,95,2136,435.9328897109127,14.399363166763276,0.8512236709159452,56.78990477673937
10,2,300,10,85,1911,195.40028307747306,10.31669864630834,0.9247323517252873,33.6733365120701
10,2,300,10,75,1687,100.253284878985,7.707347465680603,0.9559837168171784,22.448739080298772
10,4,300,10,100,2249,909.3666981852291,18.498930294945897,0.7335009307502208,93.38174395280234
10,4,300,10,99,2226,697.5153917357732,17.22469227313567,0.7828678922096135,77.4821443452381
10,4,300,10,95,2136,444.43548246890504,14.537433130461922,0.8474397346849103,56.07362959501561
10,4,300,10,85,1911,203.8278054055688,10.443972161172159,0.9203857923329768,35.16488298611113
10,4,300,10,75,1687,100.27052360897429,7.699637660541392,0.9569768862598856,22.905413333333307
10,6,300,10,100,2249,830.979954910408,18.217852556691867,0.7564729553096754,87.84271061946905
10,6,300,10,99,2226,652.7131873185273,17.04176476489967,0.801523163677966,73.09861845238096
10,6,300,10,95,2136,426.82250367997887,14.53451502808989,0.8564417835297641,53.86262834890969
10,6,300,10,85,1911,203.94879855510086,10.631722448979595,0.9211687041472333,33.7689840277778
10,6,300,10,75,1687,106.98025678387206,8.010350780478168,0.9546737117983081,23.536327843137244
15,1,300,10,100,2244,873.7258589003477,18.29499814768032,0.7444878506154631,90.97996803097344
15,1,300,10,99,2221,686.7065524922155,17.091340158114555,0.7890742900273902,77.05167181512192
15,1,300,10,95,2131,442.4426724701419,14.440750565882048,0.8524928521217865,57.87865161400384
15,1,300,10,85,1907,192.78755664707882,10.275691621730825,0.9291428592337001,33.786689816668634
