sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
90,6,400,10.0,99,2147,24.656178420437065,16.60016891728455,0.8162234231644394,70.24196546704432,35.0,17.0,17.0,1.0,17.5
90,6,400,20.0,99,2147,24.67479337001157,16.613527162319507,0.815945822715212,70.29631712962959,39.0,18.0,18.0,2.0,19.25
90,6,300,10.0,99,2147,24.675834550336898,16.593734575640454,0.8159302896464316,70.45823851566513,33.0,21.0,21.0,5.0,20.0
90,6,400,30.0,99,2147,24.675068512227806,16.613669783418718,0.815941718011612,70.29704745370367,40.5,19.5,19.5,3.5,20.75
90,6,400,,99,2147,24.675068512227806,16.613669783418718,0.815941718011612,70.29704745370367,40.5,19.5,19.5,3.5,20.75
90,6,300,20.0,99,2147,24.701999393494084,16.612176117062564,0.8155397287128818,70.5900561728395,36.0,23.0,23.0,6.0,22.0
90,6,300,30.0,99,2147,24.70232749070909,16.612335227449147,0.8155348285991502,70.5910299382716,37.5,24.5,24.5,7.5,23.5
90,6,300,,99,2147,24.70232749070909,16.612335227449147,0.8155348285991502,70.5910299382716,37.5,24.5,24.5,7.5,23.5
90,6,200,10.0,99,2147,24.710347050483758,16.59880297970913,0.8153242490893835,70.70494195061436,34.0,26.0,29.0,9.0,24.5
90,6,100,10.0,99,2147,24.680026083466032,16.61875820873033,0.8158677507430078,70.82030262002522,45.0,22.0,22.0,10.0,24.75
90,6,200,20.0,99,2147,24.740711890747164,16.617195312063345,0.81487009965212,70.89941018518518,42.0,30.0,30.0,11.0,28.25
90,6,200,,99,2147,24.741129347943797,16.617405170004655,0.8148638520985678,70.90087083333331,43.5,31.5,31.5,12.5,29.75
90,6,200,30.0,99,2147,24.741129347943797,16.617405170004655,0.8148638520985678,70.90087083333331,43.5,31.5,31.5,12.5,29.75
90,6,100,30.0,99,2147,24.71204242326021,16.63284783418724,0.8153897071249973,71.01500277777777,55.5,27.5,26.5,15.0,31.125
90,6,100,,99,2147,24.71204242326021,16.63284783418724,0.8153897071249973,71.01500277777777,55.5,27.5,26.5,15.0,31.125
7,4,400,10.0,99,2229,24.896793715030128,16.443664737550478,0.8095162285519114,72.68169330357142,18.5,34.5,34.5,38.5,31.5
7,4,400,20.0,99,2229,24.896793715030128,16.443664737550478,0.8095162285519114,72.68169330357142,18.5,34.5,34.5,38.5,31.5
90,6,100,20.0,99,2147,24.71204271655603,16.632844280391243,0.8153897027428887,71.01500277777777,54.0,29.0,28.0,15.0,31.5
7,4,400,30.0,99,2229,24.896793715030128,16.443664737550478,0.8095162285519114,72.68169330357142,18.5,34.5,34.5,38.5,31.5
7,4,400,,99,2229,24.896793715030128,16.443664737550478,0.8095162285519114,72.68169330357142,18.5,34.5,34.5,38.5,31.5
