sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
90,1,400,10.0,99,2147,23.572389589690736,15.80487914602928,0.8346904566810449,68.08010514962608,21.0,1.0,1.0,1.0,6.0
90,1,400,20.0,99,2147,23.589101113148995,15.814044969725192,0.8345421045198425,68.12333935185183,22.0,2.0,2.0,3.0,7.25
90,1,400,30.0,99,2147,23.589126876606525,15.814064892873771,0.8345417431012558,68.12333935185183,23.5,3.5,3.5,3.0,8.375
90,1,400,,99,2147,23.589126876606525,15.814064892873771,0.8345417431012558,68.12333935185183,23.5,3.5,3.5,3.0,8.375
90,1,200,10.0,99,2147,23.618646933940152,15.814587450523073,0.8339166873139485,68.2094461367452,25.0,6.0,6.0,6.0,10.75
90,1,200,20.0,99,2147,23.628190158908073,15.825165510013967,0.8337824467176793,68.24713611111109,26.0,7.0,7.0,11.0,12.75
90,1,200,,99,2147,23.628261755931895,15.825227084303677,0.8337814393870228,68.24713611111109,27.5,8.5,8.5,11.0,13.875
90,1,200,30.0,99,2147,23.628261755931895,15.825227084303677,0.8337814393870228,68.24713611111109,27.5,8.5,8.5,11.0,13.875
90,1,300,10.0,99,2147,23.617273556757493,15.826493566221169,0.8340603286232634,68.2576364687551,29.0,5.0,5.0,17.0,14.0
90,1,300,20.0,99,2147,23.635522380614066,15.839023505666818,0.8336792705503817,68.28406080246913,34.0,14.0,10.0,19.0,19.25
90,1,100,10.0,99,2147,23.65033949099077,15.841793367365826,0.833595347657882,68.12650719425058,37.0,25.0,13.0,5.0,20.0
90,1,300,30.0,99,2147,23.63555462823235,15.839046793976085,0.8336788167037548,68.28406080246913,35.5,15.5,11.5,19.0,20.375
90,1,300,,99,2147,23.63555462823235,15.839046793976085,0.8336788167037548,68.28406080246913,35.5,15.5,11.5,19.0,20.375
90,1,100,30.0,99,2147,23.68343993605014,15.861980018630646,0.8331292298218813,68.22104999999998,50.5,30.5,14.5,8.0,25.875
90,1,100,,99,2147,23.68343993605014,15.861980018630646,0.8331292298218813,68.22104999999998,50.5,30.5,14.5,8.0,25.875
90,1,100,20.0,99,2147,23.683452575075002,15.861988262692126,0.833129051715628,68.22104999999998,52.0,32.0,16.0,8.0,27.0
30,2,400,10.0,99,2206,23.63113107080673,15.79097067020355,0.8306726828665989,68.62471993243244,20.0,13.0,40.0,36.0,27.25
30,2,400,,99,2206,23.630575318512964,15.790372586128738,0.8302269041600852,68.62152364864865,18.0,11.0,53.0,34.0,29.0
30,2,400,30.0,99,2206,23.630575318512964,15.790372586128738,0.8302269041600852,68.62152364864865,18.0,11.0,53.0,34.0,29.0
30,2,400,20.0,99,2206,23.630575318512964,15.790372586128738,0.8302269041600852,68.62152364864865,18.0,11.0,53.0,34.0,29.0
30,1,400,10.0,99,2206,23.638293786724024,15.832211955544894,0.8300810094894673,68.48869640336768,33.0,21.0,55.0,25.0,33.5
30,1,200,10.0,99,2206,23.635676006306095,15.85771036640119,0.8296584943643288,68.25154290540539,42.0,17.0,64.0,13.0,34.0
30,1,400,,99,2206,23.638868617494545,15.832010006799637,0.8300727452845514,68.49287319819823,31.0,23.0,57.0,27.0,34.5
30,1,400,30.0,99,2206,23.638868617494545,15.832010006799637,0.8300727452845514,68.49287319819823,31.0,23.0,57.0,27.0,34.5
30,1,400,20.0,99,2206,23.638868617494545,15.832010006799637,0.8300727452845514,68.49287319819823,31.0,23.0,57.0,27.0,34.5
30,1,200,,99,2206,23.63774524632458,15.85898834995467,0.8296286671751758,68.2520063063063,48.0,19.0,66.0,15.0,37.0
30,1,300,10.0,99,2206,23.653619933800876,15.856490980687072,0.8297369035301079,68.40386201129702,38.0,26.0,60.0,24.0,37.0
30,1,200,20.0,99,2206,23.63774524632458,15.85898834995467,0.8296286671751758,68.2520063063063,48.0,19.0,66.0,15.0,37.0
30,1,200,30.0,99,2206,23.63774524632458,15.85898834995467,0.8296286671751758,68.2520063063063,48.0,19.0,66.0,15.0,37.0
30,1,300,30.0,99,2206,23.65442841299742,15.85671152916289,0.829725264167987,68.40241921921923,40.0,28.0,62.0,22.0,38.0
30,1,300,,99,2206,23.65442841299742,15.85671152916289,0.829725264167987,68.40241921921923,40.0,28.0,62.0,22.0,38.0
30,1,300,20.0,99,2206,23.65442841299742,15.85671152916289,0.829725264167987,68.40241921921923,40.0,28.0,62.0,22.0,38.0
90,2,100,20.0,99,2147,23.747083958083564,15.947207945194846,0.8329403508940725,68.63878055555554,61.0,37.0,17.0,38.0,38.25
90,2,100,30.0,99,2147,23.747101624824726,15.947219142990216,0.8329401023245486,68.63878055555554,62.5,38.5,18.5,38.0,39.375
90,2,100,,99,2147,23.747101624824726,15.947219142990216,0.8329401023245486,68.63878055555554,62.5,38.5,18.5,38.0,39.375
90,2,100,10.0,99,2147,23.756021287138047,15.95310087902422,0.832139911021992,68.66601145745052,64.0,48.0,20.0,40.0,43.0
30,2,300,,99,2206,23.72033470805755,15.858151858567542,0.8293919044523719,68.89293573573573,44.0,34.0,69.0,60.0,51.75
30,2,300,30.0,99,2206,23.72033470805755,15.858151858567542,0.8293919044523719,68.89293573573573,44.0,34.0,69.0,60.0,51.75
30,2,300,20.0,99,2206,23.72033470805755,15.858151858567542,0.8293919044523719,68.89293573573573,44.0,34.0,69.0,60.0,51.75
30,2,300,10.0,99,2206,23.72081252350841,15.858839641248244,0.8293850310244757,68.89248513513513,46.0,36.0,71.0,58.0,52.75
90,2,300,20.0,99,2147,23.81257011946444,15.96453106013558,0.8312075648554219,69.22751759259258,65.0,53.0,28.0,80.0,56.5
90,2,300,30.0,99,2147,23.812627101333078,15.964564384412352,0.8312067570367089,69.22740030864196,66.5,54.5,29.5,78.5,57.25
90,2,300,,99,2147,23.812627101333078,15.964564384412352,0.8312067570367089,69.22740030864196,66.5,54.5,29.5,78.5,57.25
30,1,100,10.0,99,2206,23.771388551985307,15.986251463428152,0.8290622301028288,68.60690375375374,78.0,49.0,75.0,29.0,57.75
30,2,100,10.0,99,2206,23.748399943599555,15.90500169621101,0.8283715802600666,68.88166561561562,57.0,40.0,84.0,51.0,58.0
30,1,100,20.0,99,2206,23.77283058071425,15.9867560743427,0.8290414904938601,68.6188117117117,80.0,51.0,77.0,31.0,59.75
30,1,100,30.0,99,2206,23.77283058071425,15.9867560743427,0.8290414904938601,68.6188117117117,80.0,51.0,77.0,31.0,59.75
30,1,100,,99,2206,23.77283058071425,15.9867560743427,0.8290414904938601,68.6188117117117,80.0,51.0,77.0,31.0,59.75
90,2,300,10.0,99,2147,23.814025959107294,15.971621014183746,0.8311869251488249,69.26060206055702,68.0,56.0,31.0,87.0,60.5
30,2,100,30.0,99,2206,23.749367315974254,15.9053291931097,0.8283575976781761,68.88507297297296,59.0,42.0,86.0,56.0,60.75
