Datetime,MarginalES
2018-01-01 14:00:00,2.3
2018-01-02 14:00:00,48.02
2018-01-03 14:00:00,52.0
2018-01-04 14:00:00,48.19
2018-01-05 14:00:00,52.02
2018-01-06 14:00:00,52.07
2018-01-07 14:00:00,54.07
2018-01-08 14:00:00,69.42
2018-01-09 14:00:00,57.55
2018-01-10 14:00:00,49.54
2018-01-11 14:00:00,54.83
2018-01-12 14:00:00,63.86
2018-01-13 14:00:00,59.07
2018-01-14 14:00:00,58.11
2018-01-15 14:00:00,60.9
2018-01-16 14:00:00,56.16
2018-01-17 14:00:00,54.97
2018-01-18 14:00:00,60.41
2018-01-19 14:00:00,55.4
2018-01-20 14:00:00,53.01
2018-01-21 14:00:00,47.93
2018-01-22 14:00:00,58.01
2018-01-23 14:00:00,60.02
2018-01-24 14:00:00,55.83
2018-01-25 14:00:00,56.92
2018-01-26 14:00:00,49.2
2018-01-27 14:00:00,51.09
2018-01-28 14:00:00,52.88
2018-01-29 14:00:00,55.39
2018-01-30 14:00:00,58.39
2018-01-31 14:00:00,59.0
2018-02-01 14:00:00,55.04
2018-02-02 14:00:00,52.04
2018-02-03 14:00:00,46.95
2018-02-04 14:00:00,58.19
2018-02-05 14:00:00,59.31
2018-02-06 14:00:00,54.1
2018-02-07 14:00:00,58.1
2018-02-08 14:00:00,64.63
2018-02-09 14:00:00,67.44
2018-02-10 14:00:00,48.0
2018-02-11 14:00:00,50.43
2018-02-12 14:00:00,60.07
2018-02-13 14:00:00,49.3
2018-02-14 14:00:00,47.48
2018-02-15 14:00:00,59.94
2018-02-16 14:00:00,60.69
2018-02-17 14:00:00,46.96
2018-02-18 14:00:00,56.01
2018-02-19 14:00:00,60.69
2018-02-20 14:00:00,51.67
2018-02-21 14:00:00,46.06
2018-02-22 14:00:00,53.9
2018-02-23 14:00:00,61.45
2018-02-24 14:00:00,61.05
2018-02-25 14:00:00,60.43
2018-02-26 14:00:00,61.97
2018-02-27 14:00:00,71.04
2018-02-28 14:00:00,61.48
2018-03-01 14:00:00,56.01
2018-03-02 14:00:00,61.68
2018-03-03 14:00:00,43.29
2018-03-04 14:00:00,49.29
2018-03-05 14:00:00,55.03
2018-03-06 14:00:00,50.07
2018-03-07 14:00:00,51.17
2018-03-08 14:00:00,50.0
2018-03-09 14:00:00,43.69
2018-03-10 14:00:00,35.64
2018-03-11 14:00:00,7.99
2018-03-12 14:00:00,41.5
2018-03-13 14:00:00,50.32
2018-03-14 14:00:00,39.69
2018-03-15 14:00:00,39.7
2018-03-16 14:00:00,50.18
2018-03-17 14:00:00,50.27
2018-03-18 14:00:00,39.05
2018-03-19 14:00:00,44.99
2018-03-20 14:00:00,36.1
2018-03-21 14:00:00,47.05
2018-03-22 14:00:00,57.32
2018-03-23 14:00:00,50.35
2018-03-24 14:00:00,20.39
2018-03-25 14:00:00,37.95
2018-03-26 14:00:00,52.52
2018-03-27 14:00:00,47.34
2018-03-28 14:00:00,48.99
2018-03-29 14:00:00,32.48
2018-03-30 14:00:00,5.48
2018-03-31 14:00:00,8.85
2018-04-01 14:00:00,22.14
2018-04-02 14:00:00,30.92
2018-04-03 14:00:00,35.02
2018-04-04 14:00:00,30.64
2018-04-05 14:00:00,47.52
2018-04-06 14:00:00,35.2
2018-04-07 14:00:00,45.68
2018-04-08 14:00:00,31.8
2018-04-09 14:00:00,53.07
2018-04-10 14:00:00,49.96
2018-04-11 14:00:00,43.95
2018-04-12 14:00:00,52.34
2018-04-13 14:00:00,61.61
2018-04-14 14:00:00,52.49
2018-04-15 14:00:00,39.0
2018-04-16 14:00:00,49.99
2018-04-17 14:00:00,54.0
2018-04-18 14:00:00,50.0
2018-04-19 14:00:00,45.49
2018-04-20 14:00:00,38.08
2018-04-21 14:00:00,40.43
2018-04-22 14:00:00,39.54
2018-04-23 14:00:00,52.5
2018-04-24 14:00:00,50.0
2018-04-25 14:00:00,52.01
2018-04-26 14:00:00,51.36
2018-04-27 14:00:00,51.73
2018-04-28 14:00:00,47.64
2018-04-29 14:00:00,12.84
2018-04-30 14:00:00,48.54
2018-05-01 14:00:00,45.13
2018-05-02 14:00:00,49.69
2018-05-03 14:00:00,45.71
2018-05-04 14:00:00,44.69
2018-05-05 14:00:00,49.69
2018-05-06 14:00:00,49.44
2018-05-07 14:00:00,57.09
2018-05-08 14:00:00,57.9
2018-05-09 14:00:00,58.0
2018-05-10 14:00:00,57.09
2018-05-11 14:00:00,58.01
2018-05-12 14:00:00,38.05
2018-05-13 14:00:00,34.61
2018-05-14 14:00:00,53.59
2018-05-15 14:00:00,53.87
2018-05-16 14:00:00,56.97
2018-05-17 14:00:00,58.37
2018-05-18 14:00:00,59.35
2018-05-19 14:00:00,61.3
2018-05-20 14:00:00,60.0
2018-05-21 14:00:00,64.39
2018-05-22 14:00:00,63.16
2018-05-23 14:00:00,65.88
2018-05-24 14:00:00,64.52
2018-05-25 14:00:00,65.0
2018-05-26 14:00:00,63.47
2018-05-27 14:00:00,64.45
2018-05-28 14:00:00,65.9
2018-05-29 14:00:00,66.13
2018-05-30 14:00:00,66.79
2018-05-31 14:00:00,64.67
2018-06-01 14:00:00,64.97
2018-06-02 14:00:00,64.97
2018-06-03 14:00:00,52.04
2018-06-04 14:00:00,61.29
2018-06-05 14:00:00,62.87
2018-06-06 14:00:00,65.0
2018-06-07 14:00:00,63.73
2018-06-08 14:00:00,63.5
2018-06-09 14:00:00,59.59
2018-06-10 14:00:00,60.6
2018-06-11 14:00:00,63.04
2018-06-12 14:00:00,59.0
2018-06-13 14:00:00,54.05
2018-06-14 14:00:00,59.29
2018-06-15 14:00:00,60.54
2018-06-16 14:00:00,55.0
2018-06-17 14:00:00,50.0
2018-06-18 14:00:00,57.47
2018-06-19 14:00:00,60.3
2018-06-20 14:00:00,62.16
2018-06-21 14:00:00,61.97
2018-06-22 14:00:00,61.5
2018-06-23 14:00:00,60.4
2018-06-24 14:00:00,60.1
2018-06-25 14:00:00,64.36
2018-06-26 14:00:00,64.1
2018-06-27 14:00:00,64.24
2018-06-28 14:00:00,63.5
2018-06-29 14:00:00,63.17
2018-06-30 14:00:00,57.89
2018-07-01 14:00:00,55.0
2018-07-02 14:00:00,64.97
2018-07-03 14:00:00,62.52
2018-07-04 14:00:00,62.5
2018-07-04 14:00:00,62.5
2018-07-05 14:00:00,62.01
2018-07-06 14:00:00,63.09
2018-07-07 14:00:00,61.21
2018-07-08 14:00:00,60.97
2018-07-09 14:00:00,64.95
2018-07-10 14:00:00,64.71
2018-07-11 14:00:00,65.73
2018-07-12 14:00:00,68.3
2018-07-13 14:00:00,66.69
2018-07-14 14:00:00,63.04
2018-07-15 14:00:00,63.0
2018-07-16 14:00:00,63.9
2018-07-17 14:00:00,66.94
2018-07-18 14:00:00,66.76
2018-07-19 14:00:00,66.69
2018-07-20 14:00:00,66.3
2018-07-21 14:00:00,64.21
2018-07-22 14:00:00,62.21
2018-07-23 14:00:00,66.9
2018-07-24 14:00:00,68.81
2018-07-25 14:00:00,68.02
2018-07-26 14:00:00,68.99
2018-07-27 14:00:00,67.61
2018-07-28 14:00:00,65.0
2018-07-29 14:00:00,61.0
2018-07-30 14:00:00,68.01
2018-07-31 14:00:00,68.19
2018-08-01 14:00:00,68.34
2018-08-02 14:00:00,68.89
2018-08-03 14:00:00,70.41
2018-08-04 14:00:00,69.61
2018-08-05 14:00:00,67.75
2018-08-06 14:00:00,70.69
2018-08-07 14:00:00,67.01
2018-08-08 14:00:00,68.01
2018-08-09 14:00:00,66.01
2018-08-10 14:00:00,69.21
2018-08-11 14:00:00,65.67
2018-08-12 14:00:00,62.0
2018-08-13 14:00:00,67.77
2018-08-14 14:00:00,64.8
2018-08-15 14:00:00,64.19
2018-08-16 14:00:00,66.51
2018-08-17 14:00:00,63.9
2018-08-18 14:00:00,62.14
2018-08-19 14:00:00,62.21
2018-08-20 14:00:00,68.55
2018-08-21 14:00:00,71.1
2018-08-22 14:00:00,71.16
2018-08-23 14:00:00,69.11
2018-08-24 14:00:00,67.53
2018-08-25 14:00:00,65.21
2018-08-26 14:00:00,66.8
2018-08-27 14:00:00,68.67
2018-08-28 14:00:00,67.47
2018-08-29 14:00:00,75.18
2018-08-30 14:00:00,74.96
2018-08-31 14:00:00,72.47
2018-09-01 14:00:00,66.86
2018-09-02 14:00:00,65.8
2018-09-03 14:00:00,74.17
2018-09-04 14:00:00,74.7
2018-09-05 14:00:00,77.1
2018-09-06 14:00:00,72.3
2018-09-07 14:00:00,70.97
2018-09-08 14:00:00,71.14
2018-09-09 14:00:00,71.79
2018-09-10 14:00:00,75.7
2018-09-11 14:00:00,73.93
2018-09-12 14:00:00,78.0
2018-09-13 14:00:00,76.26
2018-09-14 14:00:00,77.75
2018-09-15 14:00:00,72.3
2018-09-16 14:00:00,71.25
2018-09-17 14:00:00,72.25
2018-09-18 14:00:00,76.93
2018-09-19 14:00:00,75.99
2018-09-20 14:00:00,74.3
2018-09-21 14:00:00,75.7
2018-09-22 14:00:00,70.67
